US
1.000000    0.000000
0.993423    0.001393
0.980225    0.001798
0.964551    0.002278
0.948134    0.002780
0.931565    0.003286
0.914968    0.003793
0.898366    0.004299
0.881764    0.004806
0.865159    0.005312
0.848556    0.005816
0.831953    0.006320
0.815348    0.006824
0.798744    0.007327
0.782140    0.007829
0.765535    0.008330
0.748931    0.008830
0.732326    0.009329
0.715722    0.009828
0.699117    0.010325
0.682513    0.010821
0.665908    0.011314
0.649303    0.011808
0.632699    0.012301
0.616095    0.012792
0.599490    0.013281
0.582887    0.013769
0.566283    0.014255
0.549680    0.014740
0.533078    0.015223
0.516479    0.015703
0.499882    0.016182
0.483286    0.016658
0.466694    0.017218
0.450102    0.017785
0.433508    0.018355
0.416912    0.018929
0.400311    0.019504
0.383704    0.020080
0.367094    0.020655
0.350490    0.021226
0.333900    0.021786
0.317329    0.022332
0.300785    0.022857
0.284271    0.023352
0.267794    0.023810
0.251359    0.024218
0.234968    0.024564
0.218625    0.024838
0.202334    0.025024
0.186098    0.025114
0.169920    0.025090
0.153812    0.024939
0.137786    0.024646
0.121867    0.024191
0.106094    0.023553
0.090528    0.022704
0.075278    0.021606
0.060558    0.020225
0.046776    0.018534
0.034610    0.016575
0.024801    0.014519
0.017492    0.012547
0.012184    0.010726
0.008276    0.009024
0.005349    0.007390
0.003156    0.005769
0.001571    0.004128
0.000546    0.002462
0.000057    0.000808
0.000000    0.000000
LS
1.000000    0.000000
0.993423    -0.001393
0.980225    -0.001798
0.964551    -0.002278
0.948134    -0.002780
0.931565    -0.003286
0.914968    -0.003793
0.898366    -0.004299
0.881764    -0.004806
0.865159    -0.005312
0.848556    -0.005816
0.831953    -0.006320
0.815348    -0.006824
0.798744    -0.007327
0.782140    -0.007829
0.765535    -0.008330
0.748931    -0.008830
0.732326    -0.009329
0.715722    -0.009828
0.699117    -0.010325
0.682513    -0.010821
0.665908    -0.011314
0.649303    -0.011808
0.632699    -0.012301
0.616095    -0.012792
0.599490    -0.013281
0.582887    -0.013769
0.566283    -0.014255
0.549680    -0.014740
0.533078    -0.015223
0.516479    -0.015703
0.499882    -0.016182
0.483286    -0.016658
0.466694    -0.017218
0.450102    -0.017785
0.433508    -0.018355
0.416912    -0.018929
0.400311    -0.019504
0.383704    -0.020080
0.367094    -0.020655
0.350490    -0.021226
0.333900    -0.021786
0.317329    -0.022332
0.300785    -0.022857
0.284271    -0.023352
0.267794    -0.023810
0.251359    -0.024218
0.234968    -0.024564
0.218625    -0.024838
0.202334    -0.025024
0.186098    -0.025114
0.169920    -0.025090
0.153812    -0.024939
0.137786    -0.024646
0.121867    -0.024191
0.106094    -0.023553
0.090528    -0.022704
0.075278    -0.021606
0.060558    -0.020225
0.046776    -0.018534
0.034610    -0.016575
0.024801    -0.014519
0.017492    -0.012547
0.012184    -0.010726
0.008276    -0.009024
0.005349    -0.007390
0.003156    -0.005769
0.001571    -0.004128
0.000546    -0.002462
0.000057    -0.000808
0.000000    0.000000
